date_slug_ddmmyyyy,url,saved_filename,status
01092010,https://www.bcb.gov.br/publicacoes/atascopom/01092010,01092010.txt,saved
02032011,https://www.bcb.gov.br/publicacoes/atascopom/02032011,02032011.txt,saved
02032016,https://www.bcb.gov.br/publicacoes/atascopom/02032016,02032016.txt,saved
02092009,https://www.bcb.gov.br/publicacoes/atascopom/02092009,02092009.txt,saved
03062015,https://www.bcb.gov.br/publicacoes/atascopom/03062015,03062015.txt,saved
03092014,https://www.bcb.gov.br/publicacoes/atascopom/03092014,03092014.txt,saved
04031998,https://www.bcb.gov.br/publicacoes/atascopom/04031998,04031998.txt,saved
04031999,https://www.bcb.gov.br/publicacoes/atascopom/04031999,04031999.txt,saved
04032015,https://www.bcb.gov.br/publicacoes/atascopom/04032015,04032015.txt,saved
04062008,https://www.bcb.gov.br/publicacoes/atascopom/04062008,04062008.txt,saved
05032008,https://www.bcb.gov.br/publicacoes/atascopom/05032008,05032008.txt,saved
05092007,https://www.bcb.gov.br/publicacoes/atascopom/05092007,05092007.txt,saved
06032013,https://www.bcb.gov.br/publicacoes/atascopom/06032013,06032013.txt,saved
06062007,https://www.bcb.gov.br/publicacoes/atascopom/06062007,06062007.txt,saved
06101999,https://www.bcb.gov.br/publicacoes/atascopom/06101999,06101999.txt,saved
07032012,https://www.bcb.gov.br/publicacoes/atascopom/07032012,07032012.txt,saved
07101998,https://www.bcb.gov.br/publicacoes/atascopom/07101998,07101998.txt,saved
08062011,https://www.bcb.gov.br/publicacoes/atascopom/08062011,08062011.txt,saved
08062016,https://www.bcb.gov.br/publicacoes/atascopom/08062016,08062016.txt,saved
09062010,https://www.bcb.gov.br/publicacoes/atascopom/09062010,09062010.txt,saved
09102013,https://www.bcb.gov.br/publicacoes/atascopom/09102013,09102013.txt,saved
09122009,https://www.bcb.gov.br/publicacoes/atascopom/09122009,09122009.txt,saved
10072013,https://www.bcb.gov.br/publicacoes/atascopom/10072013,10072013.txt,saved
10091998,https://www.bcb.gov.br/publicacoes/atascopom/10091998,10091998.txt,saved
10102012,https://www.bcb.gov.br/publicacoes/atascopom/10102012,10102012.txt,saved
10111999,https://www.bcb.gov.br/publicacoes/atascopom/10111999,10111999.txt,saved
10122008,https://www.bcb.gov.br/publicacoes/atascopom/10122008,10122008.txt,saved
11032009,https://www.bcb.gov.br/publicacoes/atascopom/11032009,11032009.txt,saved
11111998,https://www.bcb.gov.br/publicacoes/atascopom/11111998,11111998.txt,saved
14041999,https://www.bcb.gov.br/publicacoes/atascopom/14041999,14041999.txt,saved
14042004,https://www.bcb.gov.br/publicacoes/atascopom/14042004,14042004.txt,saved
14122005,https://www.bcb.gov.br/publicacoes/atascopom/14122005,14122005.txt,saved
15041998,https://www.bcb.gov.br/publicacoes/atascopom/15041998,15041998.txt,saved
15062005,https://www.bcb.gov.br/publicacoes/atascopom/15062005,15062005.txt,saved
15092004,https://www.bcb.gov.br/publicacoes/atascopom/15092004,15092004.txt,saved
16012013,https://www.bcb.gov.br/publicacoes/atascopom/16012013,16012013.txt,saved
16032005,https://www.bcb.gov.br/publicacoes/atascopom/16032005,16032005.txt,saved
16042008,https://www.bcb.gov.br/publicacoes/atascopom/16042008,16042008.txt,saved
16072014,https://www.bcb.gov.br/publicacoes/atascopom/16072014,16072014.txt,saved
17032004,https://www.bcb.gov.br/publicacoes/atascopom/17032004,17032004.txt,saved
17042013,https://www.bcb.gov.br/publicacoes/atascopom/17042013,17042013.txt,saved
17072002,https://www.bcb.gov.br/publicacoes/atascopom/17072002,17072002.txt,saved
17092003,https://www.bcb.gov.br/publicacoes/atascopom/17092003,17092003.txt,saved
17112004,https://www.bcb.gov.br/publicacoes/atascopom/17112004,17112004.txt,saved
18012012,https://www.bcb.gov.br/publicacoes/atascopom/18012012,18012012.txt,saved
18022004,https://www.bcb.gov.br/publicacoes/atascopom/18022004,18022004.txt,saved
18042001,https://www.bcb.gov.br/publicacoes/atascopom/18042001,18042001.txt,saved
18042007,https://www.bcb.gov.br/publicacoes/atascopom/18042007,18042007.txt,saved
18042012,https://www.bcb.gov.br/publicacoes/atascopom/18042012,18042012.txt,saved
18052005,https://www.bcb.gov.br/publicacoes/atascopom/18052005,18052005.txt,saved
18072001,https://www.bcb.gov.br/publicacoes/atascopom/18072001,18072001.txt,saved
18072007,https://www.bcb.gov.br/publicacoes/atascopom/18072007,18072007.txt,saved
18092002,https://www.bcb.gov.br/publicacoes/atascopom/18092002,18092002.txt,saved
18102000,https://www.bcb.gov.br/publicacoes/atascopom/18102000,18102000.txt,saved
18102006,https://www.bcb.gov.br/publicacoes/atascopom/18102006,18102006.txt,saved
18122002,https://www.bcb.gov.br/publicacoes/atascopom/18122002,18122002.txt,saved
19022003,https://www.bcb.gov.br/publicacoes/atascopom/19022003,19022003.txt,saved
19042000,https://www.bcb.gov.br/publicacoes/atascopom/19042000,19042000.txt,saved
19051999,https://www.bcb.gov.br/publicacoes/atascopom/19051999,19051999.txt,saved
19062002,https://www.bcb.gov.br/publicacoes/atascopom/19062002,19062002.txt,saved
19072006,https://www.bcb.gov.br/publicacoes/atascopom/19072006,19072006.txt,saved
19102005,https://www.bcb.gov.br/publicacoes/atascopom/19102005,19102005.txt,saved
19122001,https://www.bcb.gov.br/publicacoes/atascopom/19122001,19122001.txt,saved
20012015,https://www.bcb.gov.br/publicacoes/atascopom/20012015,20012015.txt,saved
20042005,https://www.bcb.gov.br/publicacoes/atascopom/20042005,20042005.txt,saved
20042011,https://www.bcb.gov.br/publicacoes/atascopom/20042011,20042011.txt,saved
20051998,https://www.bcb.gov.br/publicacoes/atascopom/20051998,20051998.txt,saved
20062000,https://www.bcb.gov.br/publicacoes/atascopom/20062000,20062000.txt,saved
20062001,https://www.bcb.gov.br/publicacoes/atascopom/20062001,20062001.txt,saved
20072011,https://www.bcb.gov.br/publicacoes/atascopom/20072011,20072011.txt,saved
20082003,https://www.bcb.gov.br/publicacoes/atascopom/20082003,20082003.txt,saved
20102004,https://www.bcb.gov.br/publicacoes/atascopom/20102004,20102004.txt,saved
20122000,https://www.bcb.gov.br/publicacoes/atascopom/20122000,20122000.txt,saved
21012004,https://www.bcb.gov.br/publicacoes/atascopom/21012004,21012004.txt,saved
21012009,https://www.bcb.gov.br/publicacoes/atascopom/21012009,21012009.txt,saved
21032001,https://www.bcb.gov.br/publicacoes/atascopom/21032001,21032001.txt,saved
21072010,https://www.bcb.gov.br/publicacoes/atascopom/21072010,21072010.txt,saved
21082002,https://www.bcb.gov.br/publicacoes/atascopom/21082002,21082002.txt,saved
21102009,https://www.bcb.gov.br/publicacoes/atascopom/21102009,21102009.txt,saved
21112001,https://www.bcb.gov.br/publicacoes/atascopom/21112001,21112001.txt,saved
22012003,https://www.bcb.gov.br/publicacoes/atascopom/22012003,22012003.txt,saved
22032000,https://www.bcb.gov.br/publicacoes/atascopom/22032000,22032000.txt,saved
22052002,https://www.bcb.gov.br/publicacoes/atascopom/22052002,22052002.txt,saved
22091999,https://www.bcb.gov.br/publicacoes/atascopom/22091999,22091999.txt,saved
22102003,https://www.bcb.gov.br/publicacoes/atascopom/22102003,22102003.txt,saved
22112000,https://www.bcb.gov.br/publicacoes/atascopom/22112000,22112000.txt,saved
23012002,https://www.bcb.gov.br/publicacoes/atascopom/23012002,23012002.txt,saved
23012008,https://www.bcb.gov.br/publicacoes/atascopom/23012008,23012008.txt,saved
23052001,https://www.bcb.gov.br/publicacoes/atascopom/23052001,23052001.txt,saved
23061999,https://www.bcb.gov.br/publicacoes/atascopom/23061999,23061999.txt,saved
23072003,https://www.bcb.gov.br/publicacoes/atascopom/23072003,23072003.txt,saved
23112005,https://www.bcb.gov.br/publicacoes/atascopom/23112005,23112005.txt,saved
24052000,https://www.bcb.gov.br/publicacoes/atascopom/24052000,24052000.txt,saved
24061998,https://www.bcb.gov.br/publicacoes/atascopom/24061998,24061998.txt,saved
27042016,https://www.bcb.gov.br/publicacoes/atascopom/27042016,27042016.txt,saved
27112013,https://www.bcb.gov.br/publicacoes/atascopom/27112013,27112013.txt,saved
28011998,https://www.bcb.gov.br/publicacoes/atascopom/28011998,28011998.txt,saved
28042010,https://www.bcb.gov.br/publicacoes/atascopom/28042010,28042010.txt,saved
28052014,https://www.bcb.gov.br/publicacoes/atascopom/28052014,28052014.txt,saved
28071999,https://www.bcb.gov.br/publicacoes/atascopom/28071999,28071999.txt,saved
28082013,https://www.bcb.gov.br/publicacoes/atascopom/28082013,28082013.txt,saved
28112012,https://www.bcb.gov.br/publicacoes/atascopom/28112012,28112012.txt,saved
29042015,https://www.bcb.gov.br/publicacoes/atascopom/29042015,29042015.txt,saved
29052013,https://www.bcb.gov.br/publicacoes/atascopom/29052013,29052013.txt,saved
29072015,https://www.bcb.gov.br/publicacoes/atascopom/29072015,29072015.txt,saved
29102014,https://www.bcb.gov.br/publicacoes/atascopom/29102014,29102014.txt,saved
30082006,https://www.bcb.gov.br/publicacoes/atascopom/30082006,30082006.txt,saved
31052006,https://www.bcb.gov.br/publicacoes/atascopom/31052006,31052006.txt,saved
